mes,no,no_pai,pld_sub,exposicao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
2026-03-01,23,8,506.38,3.7674672e7,N26MAR3,100.0,0.0,863.568
2026-03-01,23,8,506.38,3.7674672e7,N26MAR6,100.0,0.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,NE26MAR1,100.0,0.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,NE26MAR3,100.0,0.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,NE26MAR6,100.0,0.0,863.568
2026-03-01,23,8,255.18,0.0,S26MAR1,0.0,0.0,863.568
2026-03-01,23,8,255.18,-1.8985392e7,S26MAR3,0.0,100.0,863.568
2026-03-01,23,8,255.18,-1.8985392e7,S26MAR6,0.0,100.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,SE26MAR1,100.0,0.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,SE26MAR3,100.0,0.0,863.568
2026-03-01,23,8,785.27,5.8424088e7,SE26MAR6,100.0,0.0,863.568
2026-03-01,24,8,57.31,4.263864e6,N26MAR1,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,N26MAR3,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,N26MAR6,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,NE26MAR1,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,NE26MAR3,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,NE26MAR6,100.0,-0.0,19.357
2026-03-01,24,8,57.31,0.0,S26MAR1,-0.0,-0.0,19.357
2026-03-01,24,8,57.31,-4.263864e6,S26MAR3,-0.0,100.0,19.357
2026-03-01,24,8,57.31,-4.263864e6,S26MAR6,-0.0,100.0,19.357
2026-03-01,24,8,57.31,4.263864e6,SE26MAR1,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,SE26MAR3,100.0,-0.0,19.357
2026-03-01,24,8,57.31,4.263864e6,SE26MAR6,100.0,-0.0,19.357
2026-03-01,25,8,97.21,7.232424e6,N26MAR1,100.0,-0.0,118.461
2026-03-01,25,8,97.21,7.232424e6,N26MAR3,100.0,-0.0,118.461
2026-03-01,25,8,97.21,7.232424e6,N26MAR6,100.0,-0.0,118.461
2026-03-01,25,8,177.0,1.31688e7,NE26MAR1,100.0,-0.0,118.461
2026-03-01,25,8,177.0,1.31688e7,NE26MAR3,100.0,-0.0,118.461
2026-03-01,25,8,177.0,1.31688e7,NE26MAR6,100.0,-0.0,118.461
2026-03-01,25,8,214.37,0.0,S26MAR1,-0.0,-0.0,118.461
2026-03-01,25,8,214.37,-1.5949128e7,S26MAR3,-0.0,100.0,118.461
2026-03-01,25,8,214.37,-1.5949128e7,S26MAR6,-0.0,100.0,118.461
2026-03-01,25,8,228.61,1.7008584e7,SE26MAR1,100.0,-0.0,118.461
2026-03-01,25,8,228.61,1.7008584e7,SE26MAR3,100.0,-0.0,118.461
2026-03-01,25,8,228.61,1.7008584e7,SE26MAR6,100.0,-0.0,118.461
2026-03-01,26,9,506.38,3.7674672e7,N26MAR1,100.0,0.0,662.668
2026-03-01,26,9,506.38,3.7674672e7,N26MAR3,100.0,0.0,662.668
2026-03-01,26,9,506.38,-3.7674672e7,N26MAR6,0.0,100.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,NE26MAR1,100.0,0.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,NE26MAR3,100.0,0.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,NE26MAR6,100.0,0.0,662.668
2026-03-01,26,9,255.18,-1.8985392e7,S26MAR1,0.0,100.0,662.668
2026-03-01,26,9,255.18,-1.8985392e7,S26MAR3,0.0,100.0,662.668
2026-03-01,26,9,255.18,-1.8985392e7,S26MAR6,0.0,100.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,SE26MAR1,100.0,0.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,SE26MAR3,100.0,0.0,662.668
2026-03-01,26,9,785.27,5.8424088e7,SE26MAR6,100.0,0.0,662.668
2026-03-01,27,9,57.31,4.263864e6,N26MAR1,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,N26MAR3,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,-4.263864e6,N26MAR6,-0.0,100.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,NE26MAR1,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,NE26MAR3,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,NE26MAR6,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,-4.263864e6,S26MAR1,-0.0,100.0,-100.0
2026-03-01,27,9,57.31,-4.263864e6,S26MAR3,-0.0,100.0,-100.0
2026-03-01,27,9,57.31,-4.263864e6,S26MAR6,-0.0,100.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,SE26MAR1,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,SE26MAR3,100.0,-0.0,-100.0
2026-03-01,27,9,57.31,4.263864e6,SE26MAR6,100.0,-0.0,-100.0
2026-03-01,28,9,97.21,7.232424e6,N26MAR1,100.0,-0.0,-18.518
2026-03-01,28,9,97.21,7.232424e6,N26MAR3,100.0,-0.0,-18.518
2026-03-01,28,9,97.21,-7.232424e6,N26MAR6,-0.0,100.0,-18.518
2026-03-01,28,9,177.0,1.31688e7,NE26MAR1,100.0,-0.0,-18.518
2026-03-01,28,9,177.0,1.31688e7,NE26MAR3,100.0,-0.0,-18.518
2026-03-01,28,9,177.0,1.31688e7,NE26MAR6,100.0,-0.0,-18.518
2026-03-01,28,9,214.37,-1.5949128e7,S26MAR1,-0.0,100.0,-18.518
